,mean,sd,hdi_3%,hdi_97%
beta_15[tox21-shh-3t3-gli3-agonist-p1],0.649,0.057,0.551,0.757
beta_15[tox21-ppard-bla-agonist-p1],0.641,0.051,0.542,0.732
beta_15[tox21-ar-mda-kb2-luc-agonist-p3],0.647,0.06,0.543,0.757
beta_15[tox21-er-bla-antagonist-p1],0.629,0.053,0.529,0.72
beta_15[tox21-p53-bla-p1],0.635,0.056,0.538,0.741
beta_15[tox21-car-agonist-p1],0.641,0.058,0.54,0.755
beta_15[tox21-erb-bla-antagonist-p1],0.647,0.059,0.549,0.779
beta_15[tox21-ar-mda-kb2-luc-antagonist-p1],0.652,0.061,0.543,0.762
beta_15[tox21-pparg-bla-antagonist-p1],0.654,0.071,0.543,0.792
beta_15[tox21-ap1-agonist-p1],0.64,0.051,0.546,0.743
beta_15[tox21-hre-bla-agonist-p1],0.657,0.062,0.557,0.786
beta_15[tox21-pgc-err-p1],0.643,0.06,0.536,0.757
beta_15[tox21-nfkb-bla-agonist-p1],0.625,0.053,0.524,0.731
beta_15[tox21-pr-bla-agonist-p1],0.641,0.057,0.542,0.755
beta_15[tox21-ar-mda-kb2-luc-antagonist-p2],0.635,0.056,0.539,0.745
beta_15[tox21-fxr-bla-agonist-p2],0.646,0.057,0.55,0.757
beta_15[tox21-mitotox-p1],0.615,0.061,0.503,0.721
beta_15[tox21-ror-cho-antagonist-p1],0.649,0.063,0.547,0.778
beta_15[tox21-gh3-tre-antagonist-p1],0.632,0.055,0.539,0.742
beta_15[tox21-vdr-bla-agonist-p1],0.638,0.056,0.532,0.743
beta_15[tox21-sbe-bla-antagonist-p1],0.618,0.054,0.503,0.706
beta_15[tox21-aromatase-p1],0.624,0.055,0.518,0.744
beta_15[tox21-h2ax-cho-p2],0.645,0.054,0.531,0.738
beta_15[tox21-erb-bla-p1],0.656,0.063,0.541,0.771
beta_15[tox21-shh-3t3-gli3-antagonist-p1],0.633,0.051,0.545,0.738
beta_15[tox21-rxr-bla-agonist-p1],0.621,0.057,0.521,0.729
beta_15[tox21-pr-bla-antagonist-p1],0.627,0.054,0.529,0.733
beta_15[tox21-ahr-p1],0.643,0.057,0.543,0.759
beta_15[tox21-rt-viability-hepg2-p1],0.644,0.063,0.526,0.764
beta_15[tox21-er-luc-bg1-4e2-antagonist-p2],0.632,0.058,0.532,0.75
beta_15[tox21-esre-bla-p1],0.631,0.062,0.522,0.739
beta_15[tox21-err-p1],0.636,0.054,0.526,0.735
beta_15[tox21-hse-bla-p1],0.637,0.055,0.542,0.747
beta_15[tox21-vdr-bla-antagonist-p1],0.626,0.055,0.518,0.724
beta_15[tox21-sbe-bla-agonist-p1],0.619,0.06,0.51,0.73
beta_15[tox21-fxr-bla-antagonist-p1],0.62,0.057,0.508,0.721
beta_15[tox21-hdac-p1],0.616,0.057,0.496,0.714
beta_15[tox21-er-luc-bg1-4e2-agonist-p4],0.626,0.056,0.539,0.742
beta_15[tox21-car-antagonist-p1],0.631,0.052,0.54,0.744
beta_15[tox21-are-bla-p1],0.645,0.064,0.543,0.78
beta_15[tox21-dt40-p1_657],0.613,0.053,0.518,0.721
beta_15[tox21-rar-antagonist-p2],0.63,0.055,0.526,0.734
beta_15[tox21-dt40-p1_100],0.607,0.066,0.483,0.717
beta_15[tox21-dt40-p1_653],0.61,0.059,0.498,0.717
beta_15[tox21-gr-hela-bla-antagonist-p1],0.621,0.058,0.492,0.72
beta_15[tox21-ppard-bla-antagonist-p1],0.62,0.054,0.525,0.725
beta_15[tox21-er-luc-bg1-4e2-antagonist-p1],0.625,0.058,0.519,0.729
beta_16[tox21-elg1-luc-agonist-p1],0.506,0.05,0.418,0.615
beta_16[tox21-ar-bla-antagonist-p1],0.514,0.051,0.428,0.625
beta_16[tox21-rt-viability-hek293-p1],0.535,0.064,0.436,0.668
beta_16[tox21-shh-3t3-gli3-agonist-p1],0.521,0.053,0.424,0.632
beta_16[tox21-ppard-bla-agonist-p1],0.549,0.066,0.444,0.675
beta_16[tox21-ar-mda-kb2-luc-agonist-p3],0.5,0.052,0.398,0.607
beta_16[tox21-er-bla-antagonist-p1],0.514,0.057,0.406,0.627
beta_16[tox21-p53-bla-p1],0.533,0.057,0.439,0.661
beta_16[tox21-car-agonist-p1],0.521,0.055,0.433,0.651
beta_16[tox21-erb-bla-antagonist-p1],0.512,0.058,0.404,0.631
beta_16[tox21-ar-mda-kb2-luc-antagonist-p1],0.498,0.052,0.398,0.605
beta_16[tox21-pparg-bla-antagonist-p1],0.511,0.055,0.414,0.63
beta_16[tox21-ap1-agonist-p1],0.514,0.054,0.414,0.617
beta_16[tox21-hre-bla-agonist-p1],0.522,0.055,0.414,0.632
beta_16[tox21-pgc-err-p1],0.544,0.062,0.45,0.67
beta_16[tox21-nfkb-bla-agonist-p1],0.51,0.054,0.408,0.617
beta_16[tox21-pr-bla-agonist-p1],0.518,0.061,0.424,0.649
beta_16[tox21-ar-mda-kb2-luc-antagonist-p2],0.499,0.054,0.381,0.596
beta_16[tox21-fxr-bla-agonist-p2],0.526,0.06,0.419,0.64
beta_16[tox21-mitotox-p1],0.489,0.058,0.373,0.599
beta_16[tox21-ror-cho-antagonist-p1],0.52,0.057,0.42,0.638
beta_16[tox21-gh3-tre-antagonist-p1],0.511,0.051,0.414,0.615
beta_16[tox21-vdr-bla-agonist-p1],0.54,0.06,0.442,0.657
beta_16[tox21-sbe-bla-antagonist-p1],0.506,0.053,0.41,0.618
beta_16[tox21-aromatase-p1],0.502,0.05,0.413,0.609
beta_16[tox21-h2ax-cho-p2],0.492,0.057,0.372,0.599
beta_16[tox21-erb-bla-p1],0.517,0.056,0.426,0.642
beta_16[tox21-shh-3t3-gli3-antagonist-p1],0.553,0.07,0.443,0.682
beta_16[tox21-rxr-bla-agonist-p1],0.505,0.051,0.412,0.61
beta_16[tox21-pr-bla-antagonist-p1],0.523,0.057,0.42,0.639
beta_16[tox21-ahr-p1],0.522,0.055,0.439,0.637
beta_16[tox21-rt-viability-hepg2-p1],0.526,0.055,0.43,0.644
beta_16[tox21-er-luc-bg1-4e2-antagonist-p2],0.505,0.052,0.419,0.629
beta_16[tox21-esre-bla-p1],0.52,0.056,0.422,0.633
beta_16[tox21-err-p1],0.497,0.054,0.399,0.611
beta_16[tox21-hse-bla-p1],0.492,0.056,0.385,0.599
beta_16[tox21-vdr-bla-antagonist-p1],0.511,0.053,0.404,0.609
beta_16[tox21-sbe-bla-agonist-p1],0.507,0.055,0.405,0.611
beta_16[tox21-fxr-bla-antagonist-p1],0.525,0.058,0.426,0.64
beta_16[tox21-hdac-p1],0.507,0.054,0.415,0.622
beta_16[tox21-er-luc-bg1-4e2-agonist-p4],0.501,0.053,0.397,0.604
beta_16[tox21-car-antagonist-p1],0.533,0.056,0.436,0.648
beta_16[tox21-are-bla-p1],0.508,0.053,0.413,0.627
beta_16[tox21-dt40-p1_657],0.515,0.052,0.422,0.619
beta_16[tox21-rar-antagonist-p2],0.517,0.057,0.42,0.637
beta_16[tox21-dt40-p1_100],0.515,0.05,0.422,0.614
beta_16[tox21-dt40-p1_653],0.508,0.05,0.402,0.605
beta_16[tox21-gr-hela-bla-antagonist-p1],0.511,0.054,0.409,0.616
beta_16[tox21-ppard-bla-antagonist-p1],0.538,0.06,0.442,0.661
beta_16[tox21-er-luc-bg1-4e2-antagonist-p1],0.513,0.054,0.402,0.61
beta_17[tox21-elg1-luc-agonist-p1],-0.097,0.064,-0.199,0.039
beta_17[tox21-ar-bla-antagonist-p1],-0.086,0.067,-0.201,0.04
beta_17[tox21-rt-viability-hek293-p1],-0.095,0.065,-0.212,0.027
beta_17[tox21-shh-3t3-gli3-agonist-p1],-0.119,0.075,-0.255,0.025
beta_17[tox21-ppard-bla-agonist-p1],-0.081,0.076,-0.208,0.062
beta_17[tox21-ar-mda-kb2-luc-agonist-p3],-0.107,0.069,-0.226,0.035
beta_17[tox21-er-bla-antagonist-p1],-0.085,0.074,-0.216,0.049
beta_17[tox21-p53-bla-p1],-0.096,0.068,-0.219,0.036
beta_17[tox21-car-agonist-p1],-0.117,0.072,-0.248,0.028
beta_17[tox21-erb-bla-antagonist-p1],-0.095,0.067,-0.226,0.025
beta_17[tox21-ar-mda-kb2-luc-antagonist-p1],-0.103,0.069,-0.222,0.032
beta_17[tox21-pparg-bla-antagonist-p1],-0.094,0.068,-0.209,0.038
beta_17[tox21-ap1-agonist-p1],-0.089,0.069,-0.198,0.057
beta_17[tox21-hre-bla-agonist-p1],-0.102,0.069,-0.223,0.034
beta_17[tox21-pgc-err-p1],-0.092,0.068,-0.213,0.032
beta_17[tox21-nfkb-bla-agonist-p1],-0.098,0.069,-0.211,0.044
beta_17[tox21-pr-bla-agonist-p1],-0.094,0.069,-0.203,0.044
beta_17[tox21-ar-mda-kb2-luc-antagonist-p2],-0.101,0.064,-0.214,0.031
beta_17[tox21-fxr-bla-agonist-p2],-0.08,0.073,-0.2,0.057
beta_17[tox21-mitotox-p1],-0.097,0.068,-0.21,0.053
beta_17[tox21-ror-cho-antagonist-p1],-0.099,0.07,-0.214,0.044
beta_17[tox21-gh3-tre-antagonist-p1],-0.098,0.067,-0.211,0.042
beta_17[tox21-vdr-bla-agonist-p1],-0.094,0.067,-0.207,0.046
beta_17[tox21-sbe-bla-antagonist-p1],-0.094,0.07,-0.207,0.048
beta_17[tox21-aromatase-p1],-0.106,0.068,-0.237,0.026
beta_17[tox21-h2ax-cho-p2],-0.091,0.069,-0.22,0.035
beta_17[tox21-erb-bla-p1],-0.083,0.073,-0.206,0.058
beta_17[tox21-shh-3t3-gli3-antagonist-p1],-0.109,0.067,-0.231,0.029
beta_17[tox21-rxr-bla-agonist-p1],-0.076,0.079,-0.201,0.075
beta_17[tox21-pr-bla-antagonist-p1],-0.092,0.066,-0.215,0.033
beta_17[tox21-ahr-p1],-0.111,0.07,-0.247,0.024
beta_17[tox21-rt-viability-hepg2-p1],-0.093,0.065,-0.209,0.031
beta_17[tox21-er-luc-bg1-4e2-antagonist-p2],-0.106,0.069,-0.246,0.027
beta_17[tox21-esre-bla-p1],-0.088,0.069,-0.213,0.034
beta_17[tox21-err-p1],-0.108,0.068,-0.221,0.036
beta_17[tox21-hse-bla-p1],-0.094,0.067,-0.213,0.045
beta_17[tox21-vdr-bla-antagonist-p1],-0.098,0.071,-0.215,0.054
beta_17[tox21-sbe-bla-agonist-p1],-0.09,0.071,-0.211,0.042
beta_17[tox21-fxr-bla-antagonist-p1],-0.095,0.069,-0.22,0.033
beta_17[tox21-hdac-p1],-0.082,0.073,-0.214,0.052
beta_17[tox21-er-luc-bg1-4e2-agonist-p4],-0.104,0.069,-0.228,0.029
beta_17[tox21-car-antagonist-p1],-0.109,0.068,-0.226,0.031
beta_17[tox21-are-bla-p1],-0.095,0.072,-0.221,0.054
beta_17[tox21-dt40-p1_657],-0.097,0.065,-0.221,0.028
beta_17[tox21-rar-antagonist-p2],-0.096,0.068,-0.212,0.04
beta_17[tox21-dt40-p1_100],-0.1,0.07,-0.211,0.04
beta_17[tox21-dt40-p1_653],-0.105,0.066,-0.218,0.034
beta_17[tox21-gr-hela-bla-antagonist-p1],-0.089,0.069,-0.201,0.048
beta_17[tox21-ppard-bla-antagonist-p1],-0.105,0.069,-0.219,0.036
beta_17[tox21-er-luc-bg1-4e2-antagonist-p1],-0.106,0.068,-0.23,0.026
beta_18[tox21-elg1-luc-agonist-p1],-0.316,0.045,-0.413,-0.243
beta_18[tox21-ar-bla-antagonist-p1],-0.341,0.05,-0.423,-0.242
beta_18[tox21-rt-viability-hek293-p1],-0.339,0.049,-0.425,-0.253
beta_18[tox21-shh-3t3-gli3-agonist-p1],-0.319,0.041,-0.39,-0.239
beta_18[tox21-ppard-bla-agonist-p1],-0.318,0.043,-0.408,-0.245
beta_18[tox21-ar-mda-kb2-luc-agonist-p3],-0.313,0.043,-0.395,-0.237
beta_18[tox21-er-bla-antagonist-p1],-0.334,0.049,-0.428,-0.244
beta_18[tox21-p53-bla-p1],-0.317,0.042,-0.4,-0.245
beta_18[tox21-car-agonist-p1],-0.317,0.047,-0.401,-0.224
beta_18[tox21-erb-bla-antagonist-p1],-0.332,0.048,-0.428,-0.255
beta_18[tox21-ar-mda-kb2-luc-antagonist-p1],-0.308,0.049,-0.387,-0.212
beta_18[tox21-pparg-bla-antagonist-p1],-0.331,0.045,-0.405,-0.239
beta_18[tox21-ap1-agonist-p1],-0.322,0.051,-0.416,-0.219
beta_18[tox21-hre-bla-agonist-p1],-0.329,0.046,-0.403,-0.237
beta_18[tox21-pgc-err-p1],-0.321,0.045,-0.403,-0.242
beta_18[tox21-nfkb-bla-agonist-p1],-0.314,0.047,-0.407,-0.235
beta_18[tox21-pr-bla-agonist-p1],-0.321,0.045,-0.41,-0.242
beta_18[tox21-ar-mda-kb2-luc-antagonist-p2],-0.328,0.044,-0.403,-0.245
beta_18[tox21-fxr-bla-agonist-p2],-0.321,0.041,-0.394,-0.24
beta_18[tox21-mitotox-p1],-0.316,0.044,-0.401,-0.235
beta_18[tox21-ror-cho-antagonist-p1],-0.334,0.052,-0.445,-0.245
beta_18[tox21-gh3-tre-antagonist-p1],-0.325,0.041,-0.388,-0.239
beta_18[tox21-vdr-bla-agonist-p1],-0.324,0.046,-0.409,-0.238
beta_18[tox21-sbe-bla-antagonist-p1],-0.321,0.046,-0.408,-0.238
beta_18[tox21-aromatase-p1],-0.304,0.041,-0.379,-0.227
beta_18[tox21-h2ax-cho-p2],-0.339,0.053,-0.433,-0.251
beta_18[tox21-erb-bla-p1],-0.319,0.044,-0.399,-0.229
beta_18[tox21-shh-3t3-gli3-antagonist-p1],-0.311,0.043,-0.386,-0.225
beta_18[tox21-rxr-bla-agonist-p1],-0.336,0.049,-0.42,-0.236
beta_18[tox21-pr-bla-antagonist-p1],-0.314,0.05,-0.422,-0.234
beta_18[tox21-ahr-p1],-0.32,0.045,-0.403,-0.241
beta_18[tox21-rt-viability-hepg2-p1],-0.313,0.046,-0.396,-0.228
beta_18[tox21-er-luc-bg1-4e2-antagonist-p2],-0.315,0.047,-0.397,-0.228
beta_18[tox21-esre-bla-p1],-0.316,0.041,-0.389,-0.233
beta_18[tox21-err-p1],-0.323,0.048,-0.414,-0.234
beta_18[tox21-hse-bla-p1],-0.324,0.045,-0.404,-0.24
beta_18[tox21-vdr-bla-antagonist-p1],-0.328,0.044,-0.407,-0.246
beta_18[tox21-sbe-bla-agonist-p1],-0.325,0.046,-0.413,-0.244
beta_18[tox21-fxr-bla-antagonist-p1],-0.342,0.051,-0.429,-0.252
beta_18[tox21-hdac-p1],-0.321,0.05,-0.415,-0.235
beta_18[tox21-er-luc-bg1-4e2-agonist-p4],-0.325,0.046,-0.407,-0.23
beta_18[tox21-car-antagonist-p1],-0.294,0.047,-0.374,-0.198
beta_18[tox21-are-bla-p1],-0.326,0.047,-0.421,-0.24
beta_18[tox21-dt40-p1_657],-0.313,0.042,-0.389,-0.235
beta_18[tox21-rar-antagonist-p2],-0.329,0.048,-0.42,-0.241
beta_18[tox21-dt40-p1_100],-0.305,0.043,-0.385,-0.218
beta_18[tox21-dt40-p1_653],-0.33,0.044,-0.41,-0.247
beta_18[tox21-gr-hela-bla-antagonist-p1],-0.331,0.045,-0.421,-0.252
beta_18[tox21-ppard-bla-antagonist-p1],-0.317,0.043,-0.397,-0.238
beta_18[tox21-er-luc-bg1-4e2-antagonist-p1],-0.328,0.042,-0.4,-0.244
beta_19[tox21-elg1-luc-agonist-p1],0.518,0.05,0.43,0.616
beta_19[tox21-ar-bla-antagonist-p1],0.491,0.041,0.398,0.56
beta_19[tox21-rt-viability-hek293-p1],0.499,0.04,0.424,0.58
beta_19[tox21-shh-3t3-gli3-agonist-p1],0.5,0.042,0.429,0.584
beta_19[tox21-ppard-bla-agonist-p1],0.509,0.045,0.428,0.59
beta_19[tox21-ar-mda-kb2-luc-agonist-p3],0.487,0.042,0.406,0.569
beta_19[tox21-er-bla-antagonist-p1],0.495,0.04,0.418,0.569
beta_19[tox21-p53-bla-p1],0.497,0.04,0.419,0.568
beta_19[tox21-car-agonist-p1],0.506,0.045,0.424,0.589
beta_19[tox21-erb-bla-antagonist-p1],0.496,0.042,0.416,0.573
beta_19[tox21-ar-mda-kb2-luc-antagonist-p1],0.502,0.041,0.427,0.578
beta_19[tox21-pparg-bla-antagonist-p1],0.48,0.047,0.392,0.561
beta_19[tox21-ap1-agonist-p1],0.481,0.043,0.403,0.561
beta_19[tox21-hre-bla-agonist-p1],0.493,0.042,0.405,0.569
beta_19[tox21-pgc-err-p1],0.496,0.042,0.423,0.588
beta_19[tox21-nfkb-bla-agonist-p1],0.478,0.047,0.391,0.567
beta_19[tox21-pr-bla-agonist-p1],0.497,0.043,0.423,0.58
beta_19[tox21-ar-mda-kb2-luc-antagonist-p2],0.507,0.045,0.424,0.596
beta_19[tox21-fxr-bla-agonist-p2],0.501,0.042,0.422,0.577
beta_19[tox21-mitotox-p1],0.501,0.039,0.43,0.573
beta_19[tox21-ror-cho-antagonist-p1],0.494,0.042,0.409,0.57
beta_19[tox21-gh3-tre-antagonist-p1],0.485,0.044,0.408,0.566
beta_19[tox21-vdr-bla-agonist-p1],0.496,0.043,0.42,0.578
beta_19[tox21-sbe-bla-antagonist-p1],0.473,0.052,0.373,0.561
beta_19[tox21-aromatase-p1],0.488,0.039,0.417,0.564
beta_19[tox21-h2ax-cho-p2],0.508,0.043,0.43,0.595
beta_19[tox21-erb-bla-p1],0.496,0.043,0.413,0.574
beta_19[tox21-shh-3t3-gli3-antagonist-p1],0.507,0.047,0.431,0.609
beta_19[tox21-rxr-bla-agonist-p1],0.489,0.042,0.412,0.567
beta_19[tox21-pr-bla-antagonist-p1],0.482,0.044,0.389,0.554
beta_19[tox21-ahr-p1],0.508,0.042,0.425,0.585
beta_19[tox21-rt-viability-hepg2-p1],0.49,0.04,0.419,0.568
beta_19[tox21-er-luc-bg1-4e2-antagonist-p2],0.505,0.046,0.422,0.596
beta_19[tox21-esre-bla-p1],0.494,0.047,0.407,0.583
beta_19[tox21-err-p1],0.506,0.042,0.426,0.586
beta_19[tox21-hse-bla-p1],0.494,0.045,0.403,0.58
beta_19[tox21-vdr-bla-antagonist-p1],0.502,0.042,0.419,0.572
beta_19[tox21-sbe-bla-agonist-p1],0.469,0.053,0.365,0.554
beta_19[tox21-fxr-bla-antagonist-p1],0.502,0.043,0.426,0.582
beta_19[tox21-hdac-p1],0.485,0.044,0.401,0.561
beta_19[tox21-er-luc-bg1-4e2-agonist-p4],0.527,0.06,0.431,0.638
beta_19[tox21-car-antagonist-p1],0.504,0.043,0.418,0.578
beta_19[tox21-are-bla-p1],0.501,0.046,0.418,0.585
beta_19[tox21-dt40-p1_657],0.477,0.048,0.383,0.56
beta_19[tox21-rar-antagonist-p2],0.499,0.042,0.422,0.579
beta_19[tox21-dt40-p1_100],0.478,0.046,0.39,0.561
beta_19[tox21-dt40-p1_653],0.488,0.043,0.405,0.566
beta_19[tox21-gr-hela-bla-antagonist-p1],0.499,0.041,0.419,0.575
beta_19[tox21-ppard-bla-antagonist-p1],0.471,0.049,0.369,0.547
beta_19[tox21-er-luc-bg1-4e2-antagonist-p1],0.514,0.051,0.418,0.604
beta_2[tox21-elg1-luc-agonist-p1],-0.833,0.493,-1.795,-0.193
beta_2[tox21-ar-bla-antagonist-p1],-0.838,0.496,-1.788,-0.185
beta_2[tox21-rt-viability-hek293-p1],-0.836,0.494,-1.783,-0.195
beta_2[tox21-shh-3t3-gli3-agonist-p1],-0.833,0.496,-1.812,-0.184
beta_2[tox21-ppard-bla-agonist-p1],-0.844,0.497,-1.817,-0.206
beta_2[tox21-ar-mda-kb2-luc-agonist-p3],-0.831,0.493,-1.776,-0.185
beta_2[tox21-er-bla-antagonist-p1],-0.84,0.495,-1.79,-0.198
beta_2[tox21-p53-bla-p1],-0.83,0.495,-1.818,-0.207
beta_2[tox21-car-agonist-p1],-0.829,0.493,-1.774,-0.173
beta_2[tox21-erb-bla-antagonist-p1],-0.825,0.491,-1.761,-0.169
beta_2[tox21-ar-mda-kb2-luc-antagonist-p1],-0.826,0.494,-1.819,-0.201
beta_2[tox21-pparg-bla-antagonist-p1],-0.83,0.492,-1.778,-0.19
beta_2[tox21-ap1-agonist-p1],-0.818,0.488,-1.778,-0.199
beta_2[tox21-hre-bla-agonist-p1],-0.835,0.494,-1.816,-0.203
beta_2[tox21-pgc-err-p1],-0.847,0.498,-1.81,-0.211
beta_2[tox21-nfkb-bla-agonist-p1],-0.835,0.495,-1.77,-0.197
beta_2[tox21-pr-bla-agonist-p1],-0.836,0.495,-1.802,-0.191
beta_2[tox21-ar-mda-kb2-luc-antagonist-p2],-0.829,0.493,-1.769,-0.178
beta_2[tox21-fxr-bla-agonist-p2],-0.841,0.494,-1.764,-0.204
beta_2[tox21-mitotox-p1],-0.852,0.501,-1.802,-0.195
beta_2[tox21-ror-cho-antagonist-p1],-0.836,0.493,-1.803,-0.197
beta_2[tox21-gh3-tre-antagonist-p1],-0.836,0.494,-1.802,-0.206
beta_2[tox21-vdr-bla-agonist-p1],-0.84,0.494,-1.766,-0.202
beta_2[tox21-sbe-bla-antagonist-p1],-0.836,0.496,-1.826,-0.201
beta_2[tox21-aromatase-p1],-0.829,0.494,-1.807,-0.205
beta_2[tox21-h2ax-cho-p2],-0.833,0.494,-1.785,-0.194
beta_2[tox21-erb-bla-p1],-0.833,0.495,-1.805,-0.2
beta_2[tox21-shh-3t3-gli3-antagonist-p1],-0.829,0.491,-1.776,-0.2
beta_2[tox21-rxr-bla-agonist-p1],-0.846,0.5,-1.82,-0.204
beta_2[tox21-pr-bla-antagonist-p1],-0.822,0.493,-1.791,-0.199
beta_2[tox21-ahr-p1],-0.826,0.491,-1.772,-0.179
beta_2[tox21-rt-viability-hepg2-p1],-0.84,0.495,-1.785,-0.196
beta_2[tox21-er-luc-bg1-4e2-antagonist-p2],-0.827,0.495,-1.805,-0.193
beta_2[tox21-esre-bla-p1],-0.833,0.492,-1.778,-0.189
beta_2[tox21-err-p1],-0.838,0.497,-1.836,-0.214
beta_2[tox21-hse-bla-p1],-0.839,0.498,-1.788,-0.184
beta_2[tox21-vdr-bla-antagonist-p1],-0.841,0.496,-1.78,-0.189
beta_2[tox21-sbe-bla-agonist-p1],-0.826,0.492,-1.769,-0.184
beta_2[tox21-fxr-bla-antagonist-p1],-0.841,0.497,-1.795,-0.193
beta_2[tox21-hdac-p1],-0.83,0.493,-1.771,-0.186
beta_2[tox21-er-luc-bg1-4e2-agonist-p4],-0.824,0.492,-1.798,-0.201
beta_2[tox21-car-antagonist-p1],-0.829,0.493,-1.809,-0.197
beta_2[tox21-are-bla-p1],-0.838,0.494,-1.797,-0.196
beta_2[tox21-dt40-p1_657],-0.846,0.498,-1.799,-0.195
beta_2[tox21-rar-antagonist-p2],-0.825,0.492,-1.776,-0.18
beta_2[tox21-dt40-p1_100],-0.853,0.503,-1.808,-0.18
beta_2[tox21-dt40-p1_653],-0.853,0.499,-1.807,-0.197
beta_2[tox21-gr-hela-bla-antagonist-p1],-0.83,0.492,-1.769,-0.2
beta_2[tox21-ppard-bla-antagonist-p1],-0.835,0.494,-1.784,-0.191
beta_2[tox21-er-luc-bg1-4e2-antagonist-p1],-0.852,0.498,-1.795,-0.194
beta_20[tox21-elg1-luc-agonist-p1],-0.365,0.064,-0.481,-0.262
beta_20[tox21-ar-bla-antagonist-p1],-0.342,0.063,-0.457,-0.227
beta_20[tox21-rt-viability-hek293-p1],-0.356,0.063,-0.48,-0.252
beta_20[tox21-shh-3t3-gli3-agonist-p1],-0.364,0.066,-0.482,-0.261
beta_20[tox21-ppard-bla-agonist-p1],-0.363,0.063,-0.475,-0.258
beta_20[tox21-ar-mda-kb2-luc-agonist-p3],-0.355,0.063,-0.471,-0.254
beta_20[tox21-er-bla-antagonist-p1],-0.357,0.063,-0.469,-0.252
beta_20[tox21-p53-bla-p1],-0.36,0.058,-0.472,-0.261
beta_20[tox21-car-agonist-p1],-0.37,0.065,-0.487,-0.267
beta_20[tox21-erb-bla-antagonist-p1],-0.353,0.061,-0.472,-0.255
beta_20[tox21-ar-mda-kb2-luc-antagonist-p1],-0.366,0.065,-0.49,-0.257
beta_20[tox21-pparg-bla-antagonist-p1],-0.352,0.066,-0.473,-0.243
beta_20[tox21-ap1-agonist-p1],-0.369,0.062,-0.489,-0.274
beta_20[tox21-hre-bla-agonist-p1],-0.361,0.063,-0.479,-0.261
beta_20[tox21-pgc-err-p1],-0.356,0.064,-0.478,-0.254
beta_20[tox21-nfkb-bla-agonist-p1],-0.368,0.068,-0.49,-0.257
beta_20[tox21-pr-bla-agonist-p1],-0.352,0.064,-0.467,-0.239
beta_20[tox21-ar-mda-kb2-luc-antagonist-p2],-0.359,0.064,-0.481,-0.255
beta_20[tox21-fxr-bla-agonist-p2],-0.358,0.062,-0.472,-0.257
beta_20[tox21-mitotox-p1],-0.383,0.067,-0.514,-0.278
beta_20[tox21-ror-cho-antagonist-p1],-0.344,0.069,-0.457,-0.205
beta_20[tox21-gh3-tre-antagonist-p1],-0.347,0.06,-0.458,-0.247
beta_20[tox21-vdr-bla-agonist-p1],-0.361,0.061,-0.475,-0.263
beta_20[tox21-sbe-bla-antagonist-p1],-0.36,0.065,-0.481,-0.257
beta_20[tox21-aromatase-p1],-0.372,0.065,-0.492,-0.261
beta_20[tox21-h2ax-cho-p2],-0.34,0.062,-0.465,-0.247
beta_20[tox21-erb-bla-p1],-0.369,0.062,-0.483,-0.267
beta_20[tox21-shh-3t3-gli3-antagonist-p1],-0.362,0.065,-0.483,-0.26
beta_20[tox21-rxr-bla-agonist-p1],-0.363,0.061,-0.481,-0.272
beta_20[tox21-pr-bla-antagonist-p1],-0.367,0.064,-0.482,-0.256
beta_20[tox21-ahr-p1],-0.367,0.06,-0.473,-0.258
beta_20[tox21-rt-viability-hepg2-p1],-0.347,0.065,-0.474,-0.239
beta_20[tox21-er-luc-bg1-4e2-antagonist-p2],-0.377,0.068,-0.503,-0.268
beta_20[tox21-esre-bla-p1],-0.36,0.066,-0.482,-0.251
beta_20[tox21-err-p1],-0.371,0.062,-0.49,-0.275
beta_20[tox21-hse-bla-p1],-0.362,0.061,-0.473,-0.265
beta_20[tox21-vdr-bla-antagonist-p1],-0.364,0.065,-0.482,-0.257
beta_20[tox21-sbe-bla-agonist-p1],-0.361,0.064,-0.48,-0.261
beta_20[tox21-fxr-bla-antagonist-p1],-0.362,0.062,-0.482,-0.267
beta_20[tox21-hdac-p1],-0.392,0.073,-0.523,-0.273
beta_20[tox21-er-luc-bg1-4e2-agonist-p4],-0.366,0.067,-0.503,-0.261
beta_20[tox21-car-antagonist-p1],-0.367,0.063,-0.477,-0.262
beta_20[tox21-are-bla-p1],-0.338,0.066,-0.468,-0.233
beta_20[tox21-dt40-p1_657],-0.369,0.065,-0.492,-0.263
beta_20[tox21-rar-antagonist-p2],-0.366,0.065,-0.482,-0.261
beta_20[tox21-dt40-p1_100],-0.376,0.067,-0.495,-0.273
beta_20[tox21-dt40-p1_653],-0.357,0.062,-0.476,-0.268
beta_20[tox21-gr-hela-bla-antagonist-p1],-0.365,0.063,-0.475,-0.258
beta_20[tox21-ppard-bla-antagonist-p1],-0.365,0.06,-0.474,-0.27
beta_20[tox21-er-luc-bg1-4e2-antagonist-p1],-0.374,0.064,-0.489,-0.267
beta_21[tox21-elg1-luc-agonist-p1],-0.693,0.088,-0.848,-0.543
beta_21[tox21-ar-bla-antagonist-p1],-0.69,0.08,-0.839,-0.559
beta_21[tox21-rt-viability-hek293-p1],-0.664,0.078,-0.821,-0.541
beta_21[tox21-shh-3t3-gli3-agonist-p1],-0.656,0.08,-0.824,-0.533
